CustomerID,BirthDate,SSN,AccountID,AccountOpened,AccountType,Age,AccountType_cd,AccountType_checking,AccountType_savings
2.0,1976-12-15,377-98-9839,0.0,2019-03-25,checking,49,0,1,0
3.0,2003-10-18,474-05-7613,86.0,2004-03-02,cd,22,1,0,0
4.0,1985-12-06,750-55-5509,77.0,2059-05-05,cd,40,1,0,0
5.0,2008-02-29,671-43-0485,75.0,2025-05-03,checking,17,0,1,0
6.0,1975-04-05,288-62-9296,56.0,2048-09-21,savings,50,0,0,1
7.0,2016-06-18,593-49-1249,16.0,2087-07-24,savings,9,0,0,1
8.0,2006-10-31,121-74-2917,24.0,2046-11-17,savings,19,0,0,1
9.0,2010-12-10,844-31-4793,29.0,2048-06-01,checking,15,0,1,0
10.0,1988-08-25,857-15-1139,21.0,1998-01-04,checking,37,0,1,0
11.0,1990-11-22,509-92-0704,25.0,2036-03-17,savings,35,0,0,1
12.0,1992-03-31,698-04-7583,80.0,2008-09-07,checking,33,0,1,0
13.0,1993-05-07,304-91-3605,60.0,2001-02-26,checking,32,0,1,0
14.0,1968-06-19,058-28-9758,61.0,2002-08-04,savings,57,0,0,1
15.0,2004-05-09,417-04-6784,83.0,2031-01-21,cd,21,1,0,0
16.0,1990-02-10,527-61-9953,33.0,2047-01-25,cd,36,1,0,0
17.0,1996-10-15,377-72-0498,32.0,2063-08-28,checking,29,0,1,0
18.0,2001-12-22,745-86-2436,70.0,2070-08-26,cd,24,1,0,0
19.0,1978-04-11,412-73-9490,85.0,2019-09-22,savings,47,0,0,1
20.0,2000-12-10,953-24-6512,31.0,2009-08-31,savings,25,0,0,1
21.0,2016-02-16,972-63-5997,13.0,2077-03-09,cd,10,1,0,0
22.0,1957-12-07,550-58-6755,71.0,2016-11-20,savings,68,0,0,1
25.0,1967-01-08,973-93-1469,79.0,1989-11-06,savings,59,0,0,1
26.0,1968-12-13,239-29-2784,41.0,2028-07-28,cd,57,1,0,0
27.0,1966-07-12,450-30-8071,18.0,2023-03-16,checking,59,0,1,0
28.0,1955-12-04,863-97-2245,40.0,1996-02-08,checking,70,0,1,0
29.0,1963-11-21,085-84-6399,54.0,2021-05-09,cd,62,1,0,0
31.0,1971-07-27,823-39-2138,11.0,2033-06-08,savings,54,0,0,1
32.0,2000-06-17,140-90-4818,38.0,2070-03-26,cd,25,1,0,0
33.0,1955-02-15,986-06-7499,93.0,1967-11-11,cd,71,1,0,0
34.0,1970-10-22,516-24-0314,1.0,2006-11-15,savings,55,0,0,1
35.0,1956-11-01,470-06-0415,95.0,2031-10-28,checking,69,0,1,0
36.0,1991-07-31,198-17-0647,44.0,2028-11-27,cd,34,1,0,0
37.0,2017-07-23,991-68-0187,88.0,2094-12-17,checking,8,0,1,0
39.0,1952-01-26,810-29-3625,67.0,1983-11-04,checking,74,0,1,0
40.0,1952-03-08,291-98-5506,82.0,1953-05-05,cd,73,1,0,0
41.0,1996-08-30,560-38-9694,3.0,2073-11-13,savings,29,0,0,1
42.0,1958-10-25,705-50-4163,76.0,2036-04-28,cd,67,1,0,0
43.0,1991-09-29,722-56-5854,35.0,2068-07-28,savings,34,0,0,1
46.0,1994-09-08,826-66-1458,69.0,1997-05-02,savings,31,0,0,1
47.0,2003-12-30,279-98-4046,87.0,2015-12-17,cd,22,1,0,0
48.0,2002-05-17,286-05-1043,43.0,2027-02-27,cd,23,1,0,0
51.0,2013-03-02,038-52-1394,84.0,2014-05-09,checking,12,0,1,0
52.0,1996-10-24,099-84-9627,10.0,2032-09-02,checking,29,0,1,0
54.0,2017-09-13,403-47-1401,37.0,2066-06-21,cd,8,1,0,0
55.0,1982-02-05,735-11-6346,28.0,2061-02-23,checking,44,0,1,0
56.0,1980-06-14,326-18-7713,2.0,2013-08-21,savings,45,0,0,1
57.0,1998-03-01,356-96-5412,27.0,2049-12-28,checking,27,0,1,0
59.0,2019-06-26,119-05-0326,89.0,2065-03-29,savings,6,0,0,1
60.0,1978-05-22,294-50-1419,23.0,2033-02-18,checking,47,0,1,0
61.0,2023-03-31,040-18-6728,53.0,2068-01-17,savings,2,0,0,1
62.0,2022-08-23,719-02-2091,51.0,2090-07-02,cd,3,1,0,0
63.0,2014-08-18,396-60-6210,46.0,2077-12-30,checking,11,0,1,0
64.0,1966-06-27,566-06-7507,20.0,1977-05-08,checking,59,0,1,0
69.0,1999-05-09,063-26-5574,39.0,2068-04-18,checking,26,0,1,0
70.0,1987-08-29,786-80-0915,9.0,2008-10-01,checking,38,0,1,0
71.0,1990-09-27,634-88-5294,73.0,2009-04-12,checking,35,0,1,0
76.0,1983-03-23,339-04-4840,90.0,2008-04-04,checking,42,0,1,0
77.0,1991-05-21,514-57-1853,50.0,2067-05-03,savings,34,0,0,1
83.0,1976-10-12,875-04-4958,45.0,2039-09-15,cd,49,1,0,0
88.0,1962-02-07,327-09-3267,97.0,1989-10-03,cd,64,1,0,0
90.0,1969-06-18,395-31-7064,34.0,2010-12-28,checking,56,0,1,0
94.0,1969-03-14,958-12-8308,5.0,2037-04-03,savings,56,0,0,1
95.0,1975-09-23,607-97-1651,36.0,2011-07-24,checking,50,0,1,0
